SourceIdentifier,SourceFileName,GLAccountCode,Division,SubDivision,ProfitCentre1,ProfitCentre2,PlantCode,ReturnPeriod,SupplierGSTIN,DocumentType,SupplyType,DocumentNumber,DocumentDate,OriginalDocumentNumber,OriginalDocumentDate,CRDRPreGST,LineNumber,CustomerGSTIN,UINorComposition,OriginalCustomerGSTIN,CustomerName,CustomerCode,BillToState,ShipToState,POS,PortCode,ShippingBillNumber,ShippingBillDate,FOB,ExportDuty,HSNorSAC,ProductCode,ProductDescription,CategoryOfProduct,UnitOfMeasurement,Quantity,TaxableValue,IntegratedTaxRate,IntegratedTaxAmount,CentralTaxRate,CentralTaxAmount,StateUTTaxRate,StateUTTaxAmount,CessRateAdvalorem,CessAmountAdvalorem,CessRateSpecific,CessAmountSpecific,InvoiceValue,ReverseChargeFlag,TCSFlag,eComGSTIN,ITCFlag,ReasonForCreditDebitNote,AccountingVoucherNumber,AccountingVoucherDate,Userdefinedfield1,Userdefinedfield2,Userdefinedfield3
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","TAX","T11CLOUDNIC01","'2023-10-04","IRP-NIC3","2023-06-27","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","33","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC01","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","DXP","T11CLOUDNIC02","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC02","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","DTA","T11CLOUDNIC03","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC03","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","NIL","T11CLOUDNIC04","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","151999.00","N","N","","T3","","T11CLOUDNIC04","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","EXT","T11CLOUDNIC05","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","151999.00","N","N","","T3","","T11CLOUDNIC05","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","NON","T11CLOUDNIC10","'2023-10-04","4569881","2021-02-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIES","ER-6767","33","","33","INBLR4","4564566","'2022-02-26","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","152000.00","N","N","","T3","","T11CLOUDNIC10","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","TAX","T11CLOUDNIC11","'2023-10-04","IRP-NIC3","2023-06-27","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","33","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC11","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","DXP","T11CLOUDNIC12","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC12","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","DTA","T11CLOUDNIC13","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC13","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","NIL","T11CLOUDNIC14","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","151999.00","N","N","","T3","","T11CLOUDNIC14","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
